split,scope,dataset,pair,direction,requested_coverage,requested_coverage_percent,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,adaptation_coverage,changed_alpha_rate,n_observations,n_requested_for_adaptation,n_adapted,n_changed_alpha,n_harmful,n_beneficial,n_unchanged,n_nonfinite_fallback
dev,pair,MKG-W,M-Hyper + NativE,pooled,0.0,0,0.35635605747169213,0.0,0.0,0.0,,0.0,0.0,25656,0,0,0,0,0,25656,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.0,0,0.35282196536677,0.0,0.0,0.0,,0.0,0.0,25656,0,0,0,0,0,25656,0
dev,pair,DB15K,M-Hyper + NativE,pooled,0.0,0,0.38258701302410913,0.0,0.0,0.0,,0.0,0.0,47532,0,0,0,0,0,47532,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.0,0,0.38258701302410913,0.0,0.0,0.0,,0.0,0.0,47532,0,0,0,0,0,47532,0
dev,pooled,Pooled,Pooled,pooled,0.0,0,0.37277233398963966,0.0,0.0,0.0,,0.0,0.0,146376,0,0,0,0,0,146376,0
dev,pair,MKG-W,M-Hyper + NativE,pooled,0.1,10,0.35799216129912487,0.0016361038274327138,0.0007795447458684129,0.0037807920174618022,0.018444075505222257,0.10001559089491736,0.10001559089491736,25656,2566,2566,2566,20,97,25539,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.1,10,0.35282196536677,0.0,0.0,0.0,,0.10001559089491736,0.0,25656,2566,2566,0,0,0,25656,0
dev,pair,DB15K,M-Hyper + NativE,pooled,0.1,10,0.38260216829111915,1.5155267010040966e-05,4.2076916603551294e-05,0.00016830766641420518,0.33571428571428574,0.09999579230833965,0.0002314230413195321,47532,4753,4753,11,2,8,47522,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.1,10,0.38266919061843696,8.217759432779525e-05,0.0003786922494319616,0.0012623074981065387,0.10936317298810568,0.09999579230833965,0.0017041151224438274,47532,4753,4753,81,18,60,47454,0
dev,pooled,Pooled,Pooled,pooled,0.1,10,0.3730907079400258,0.0003183739503861544,0.0002732688418866481,0.0011272339727824232,0.07522117988297297,0.10000273268841886,0.018158714543367767,146376,14638,14638,2658,40,165,146171,0
dev,pair,MKG-W,M-Hyper + NativE,pooled,0.2,20,0.3595550087279317,0.0031989512562395164,0.00845806049267228,0.010523854069223574,0.06250341147562982,0.19999220455254133,0.19999220455254133,25656,5131,5131,5131,217,270,25169,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.2,20,0.3533097420956152,0.00048777672884518113,0.0003118178983473651,0.005261927034611787,0.08787248019536353,0.19999220455254133,0.005612722170252572,25656,5131,5131,144,8,135,25513,0
dev,pair,DB15K,M-Hyper + NativE,pooled,0.2,20,0.38272798042109046,0.00014096739698137768,0.0027139611209290584,0.005448960700159892,0.051066130134812406,0.1999915846166793,0.008815114028443996,47532,9506,9506,419,129,259,47144,0
dev,pair,DB15K,M-Hyper + AdaMF-MAT,pooled,0.2,20,0.38277150722999836,0.00018449420588926207,0.003387191786585879,0.00946730623579904,0.059227030686590985,0.1999915846166793,0.013401497938231087,47532,9506,9506,637,161,450,46921,0
dev,pooled,Pooled,Pooled,pooled,0.2,20,0.37352420952998083,0.0007518755403411779,0.0035183363392905943,0.007610537246543149,0.05900835506739132,0.1999918019347434,0.043251625949609226,146376,29275,29274,6331,515,1114,144747,0
dev,pair,MKG-W,M-Hyper + NativE,pooled,0.3,30,0.36057131907046197,0.0042152615987698224,0.0315325849703773,0.037496102276270656,0.04012459427485885,0.3000077954474587,0.3000077954474587,25656,7697,7697,7697,809,962,23885,0
dev,pair,MKG-W,M-Hyper + AdaMF-MAT,pooled,0.3,30,0.3546790952718228,0.0018571299050527581,0.006158403492360461,0.037106329903336455,0.036659882057270006,0.3000077954474587,0.04478484565014032,25656,7697,7697,1149,158,952,24546,0
dev,pair,DB15K,M-Hyper + NativE,pooled,0.3,30,0.38287503660570366,0.0002880235815944647,0.016094420600858368,0.033598417907935704,0.04428610122321212,0.30000841538332074,0.05478414541782378,47532,14260,14260,2604,765,1597,45170,0
